genome_id	assembly_id	phylum	class	domain	order	family	genus	species	GTDB_version	completeness	contamination	genome_size	genome_gc	genome_n50	contigs	Release	coding_density
EHM012494	EHA00391	p__Campylobacterota	c__Campylobacteria	d__Bacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	2.3.0	97.11	1.13	1810935	0.397	10019	244		NA
EHM012495	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	94.71	2.03	3446347	0.497	46462	105		NA
EHM012496	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__	2.3.0	68.97	8.575	2447759	0.466	8787	306		NA
EHM012497	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Acutalibacteraceae	g__UBA3903	s__	2.3.0	63.57	0.167	1527509	0.399	3768	457		NA
EHM012498	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__CAG-74	g__Ventricola	s__	2.3.0	95.8	1.046	2941249	0.596	26407	157		NA
EHM012499	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	97.44	2.394	3285747	0.515	32636	138		NA
EHM012500	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__	2.3.0	86.79	0.584	3141139	0.459	9535	426		NA
EHM012501	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__UBA4292	s__	2.3.0	74.26	0.316	2071957	0.48	20917	124		NA
EHM012502	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__CAG-74	g__HGM11604	s__	2.3.0	98.6	1.398	2861923	0.562	148995	42		NA
EHM012503	EHA00391	p__Bacillota_B	c__Dehalobacteriia	d__Bacteria	o__UBA4068	f__UBA5755	g__Avidehalobacter	s__	2.3.0	50.21	1.377	732691	0.577	2615	286		NA
EHM012504	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__	2.3.0	85.4	0	2104459	0.624	6992	411		NA
EHM012505	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	54.77	1.558	1622195	0.497	3315	521		NA
EHM012506	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	75.21	2.222	2400925	0.532	11244	277		NA
EHM012507	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-603	s__	2.3.0	65.47	0	1655122	0.394	4906	371		NA
EHM012508	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	97.3	0.681	4281019	0.477	102360	82		NA
EHM012509	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp017621815	2.3.0	89.16	4.83	3107767	0.419	19479	207		NA
EHM012510	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Wujia	s__	2.3.0	94.38	0.49	2401620	0.442	15530	213		NA
EHM012511	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	2.3.0	92.63	1.099	2560991	0.578	15566	250		NA
EHM012512	EHA00391	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__	2.3.0	88.54	3.081	2426356	0.532	5279	549		NA
EHM012513	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4057	s__	2.3.0	77.07	0.671	2220412	0.505	6983	399		NA
EHM012514	EHA00392	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	98.14	0.555	2733744	0.439	56335	78		NA
EHM012515	EHA00392	p__Campylobacterota	c__Campylobacteria	d__Bacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	2.3.0	98.59	1.177	1961357	0.394	18823	173		NA
EHM012516	EHA00392	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	86.83	0.495	2994889	0.491	19858	245		NA
EHM012517	EHA00392	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__UBA953	g__Spyradosoma	s__	2.3.0	92.39	0.81	2150223	0.586	67551	61		NA
EHM012518	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	61.99	7.553	2426624	0.477	6797	402		NA
EHM012519	EHA00392	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__UBA3263	s__	2.3.0	88.2	1.611	1790494	0.548	5911	361		NA
EHM012520	EHA00392	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Mediterranea	s__	2.3.0	55.71	1.003	2011088	0.557	4299	534		NA
EHM012521	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__CAG-353	s__	2.3.0	54.16	0	1486877	0.442	2612	569		NA
EHM012522	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__	2.3.0	94.29	2.076	2380043	0.611	21331	201		NA
EHM012523	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-590	s__	2.3.0	95.63	0.671	3442606	0.392	160331	45		NA
EHM012524	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__CAG-917	g__CAG-475	s__	2.3.0	79.94	2.319	1458998	0.454	7618	254		NA
EHM012525	EHA00392	p__Bacillota	c__Bacilli	d__Bacteria	o__RFN20	f__CAG-826	g__CAG-826	s__	2.3.0	51.11	0	625786	0.381	2653	243		NA
EHM012526	EHA00392	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	2.3.0	91.6	0.371	3341641	0.488	44947	124		NA
EHM012527	EHA00392	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__UBA4292	s__	2.3.0	96.83	1.898	3290964	0.466	96597	59		NA
EHM012528	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	99.42	4.558	4171402	0.489	126045	53		NA
EHM012529	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__	2.3.0	73.93	1.677	1626868	0.375	4683	400		NA
EHM012530	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__	2.3.0	95.91	0.713	2841450	0.465	176455	29		NA
EHM012531	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	94.43	0.833	3807609	0.493	121006	40		NA
EHM012532	EHA00393	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__UBA953	g__Spyradosoma	s__	2.3.0	92.56	1.486	2117765	0.586	50011	90		NA
EHM012533	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	94.07	1.618	2140773	0.602	9328	317		NA
EHM012534	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	94.7	0.185	3884455	0.478	91250	79		NA
EHM012535	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	95.68	0.626	2801924	0.494	67422	79		NA
EHM012536	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__	2.3.0	93.64	1.738	2526753	0.604	15997	243		NA
EHM012537	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__UBA3263	s__	2.3.0	71.39	0.628	1529214	0.553	5067	365		NA
EHM012538	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	2.3.0	95.6	0.838	3256553	0.535	53131	137		NA
EHM012539	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__	2.3.0	97.61	0.754	3497891	0.517	82854	93		NA
EHM012540	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	2.3.0	96.68	0.371	2734987	0.572	28445	157		NA
EHM012541	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	2.3.0	91.74	3.523	2322526	0.555	27898	123		NA
EHM012542	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__UBA3263	s__	2.3.0	76	1.194	1302487	0.562	4656	331		NA
EHM012543	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__CAG-917	g__CAG-475	s__	2.3.0	84.54	1.125	1522618	0.457	10614	226		NA
EHM012544	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	78.71	1.574	2353117	0.489	9976	319		NA
EHM012545	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	2.3.0	91.51	0.63	1981238	0.525	10734	248		NA
EHM012546	EHA00393	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	70.04	4.858	2096392	0.554	7975	342		NA
EHM012547	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Wujia	s__	2.3.0	60.95	0.671	1530111	0.449	3770	446		NA
EHM012548	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-411	s__	2.3.0	98.65	1.586	4062208	0.384	63294	117		NA
EHM012549	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__Borkfalkiaceae	g__Gallimonas	s__	2.3.0	69.5	0.026	1173921	0.539	4311	315		NA
EHM012550	EHA00393	p__Bacillota_B	c__Peptococcia	d__Bacteria	o__Peptococcales	f__Peptococcaceae	g__UBA7185	s__	2.3.0	67.34	0.765	1764627	0.455	4350	465		NA
EHM012551	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	87.55	5	4322112	0.502	15085	400		NA
EHM012552	EHA00393	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG3040	s__	2.3.0	95.95	0.574	2659945	0.391	139339	26		NA
EHM012553	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	2.3.0	94.85	2.677	3272632	0.407	59901	75		NA
EHM012554	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__	2.3.0	74.2	3.355	1709089	0.617	10985	193		NA
EHM012555	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	61	1.174	1284824	0.466	3234	425		NA
EHM012556	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__Borkfalkiaceae	g__Gallimonas	s__	2.3.0	50.6	0.537	869480	0.509	2556	343		NA
EHM012557	EHA00394	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__	2.3.0	76.46	0.51	2299909	0.565	5053	545		NA
EHM012558	EHA00394	p__Cyanobacteriota	c__Vampirovibrionia	d__Bacteria	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA1221	s__	2.3.0	73.36	1.709	1947812	0.356	10590	237		NA
EHM012559	EHA00394	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__	2.3.0	91.43	1.607	2913605	0.521	12044	327		NA
EHM012560	EHA00394	p__Cyanobacteriota	c__Vampirovibrionia	d__Bacteria	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Stercorousia	s__	2.3.0	58.47	1.709	1103800	0.354	3421	352		NA
EHM012561	EHA00394	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__JAGBWK01	s__	2.3.0	99.18	0	2388561	0.481	148837	27		NA
EHM012562	EHA00394	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__UBA953	g__Spyradosoma	s__	2.3.0	86.03	2.867	1884502	0.586	5827	381		NA
EHM012563	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__UBA7050	s__	2.3.0	59.64	0	2590502	0.457	23868	155		NA
EHM012564	EHA00394	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	91.25	1.507	3502043	0.471	15253	291		NA
EHM012565	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__	2.3.0	70.74	7.136	2320402	0.377	14101	203		NA
EHM012566	EHA00394	p__Bacillota	c__Bacilli	d__Bacteria	o__RFN20	f__CAG-826	g__CAG-826	s__	2.3.0	52.09	0	536882	0.382	2397	226		NA
EHM012567	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__	2.3.0	60.52	0.877	2422346	0.486	9613	320		NA
EHM012568	EHA00394	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Acutalibacteraceae	g__	s__	2.3.0	93.84	0.671	2034260	0.436	11109	244		NA
EHM012569	EHA00394	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	96.56	0.743	3777834	0.481	82306	80		NA
EHM012570	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-590	s__	2.3.0	94.63	2.348	3872434	0.39	67091	127		NA
EHM012571	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__ISDg	s__	2.3.0	97.09	1.006	2382438	0.541	157357	22		NA
EHM012572	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp017621815	2.3.0	60.84	1.754	2406523	0.418	6273	443		NA
EHM012573	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp900760425	2.3.0	76.98	1.126	2524753	0.489	4044	697		NA
EHM012574	EHA00395	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__UBA953	g__Spyradosoma	s__	2.3.0	92.39	0.81	2124274	0.586	114639	48		NA
EHM012575	EHA00395	p__Bacillota	c__Bacilli	d__Bacteria	o__RFN20	f__CAG-826	g__CAG-826	s__	2.3.0	100	1.123	1530666	0.372	281806	12		NA
EHM012576	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__Borkfalkiaceae	g__Gallimonas	s__	2.3.0	68.66	0.806	1358716	0.496	3393	436		NA
EHM012577	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	53.11	1.754	2766848	0.532	3290	900		NA
EHM012578	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	93.51	2.507	3310748	0.506	14436	320		NA
EHM012579	EHA00395	p__Pseudomonadota	c__Gammaproteobacteria	d__Bacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	2.3.0	82.43	0.968	3659629	0.509	4724	903		NA
EHM012580	EHA00395	p__Bacillota	c__Bacilli	d__Bacteria	o__RF39	f__UBA660	g__MGBC108787	s__	2.3.0	88.2	1.123	1233314	0.279	24470	74		NA
EHM012581	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__	2.3.0	85.02	2.125	1991789	0.401	6304	371		NA
EHM012582	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__	2.3.0	95.19	0.692	2216285	0.425	26980	132		NA
EHM012583	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	2.3.0	69.71	1.724	2583796	0.443	66606	77		NA
EHM012584	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	87.6	0.092	3091087	0.489	26813	167		NA
EHM012585	EHA00395	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__RF32	f__CAG-239	g__Scatocola	s__	2.3.0	93.54	0.063	1586875	0.457	18884	138		NA
EHM012586	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	96.95	0.961	2452136	0.588	18847	194		NA
EHM012587	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	60.44	9.409	2342415	0.508	2614	882		NA
EHM012588	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__	2.3.0	95.24	0.671	2498257	0.472	15414	223		NA
EHM012589	EHA00395	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__CAG-917	g__CAG-475	s__	2.3.0	84.78	0.223	1804720	0.446	327674	12		NA
EHM012590	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__	2.3.0	79.45	1.127	1987974	0.578	5336	450		NA
EHM012591	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__JAGBWK01	s__	2.3.0	81.98	3.104	1937221	0.489	6205	373		NA
EHM012592	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Mediterranea	s__	2.3.0	64.18	2.876	2334012	0.542	3333	755		NA
EHM012593	EHA00395	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__Rs-D84	f__Rs-D84	g__Enterousia	s__	2.3.0	87.91	0	996104	0.459	73480	32		NA
EHM012594	EHA00395	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	97.59	1.306	3688606	0.475	38816	140		NA
EHM012595	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	2.3.0	52.53	9.482	2152639	0.499	5391	416		NA
EHM012596	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__	2.3.0	72.39	0.743	1857593	0.622	4406	494		NA
EHM012597	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__	2.3.0	94.62	1.127	2609716	0.465	57719	71		NA
EHM012598	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	97.39	2.49	3989214	0.475	87608	78		NA
EHM012599	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__	2.3.0	79.39	2.097	2116378	0.54	8155	323		NA
EHM012600	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	2.3.0	70.99	0.764	2321735	0.542	14846	222		NA
EHM012601	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__	2.3.0	98.68	2.272	3875820	0.455	106424	54		NA
EHM012602	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	92.47	1.053	3855336	0.482	109013	71		NA
EHM012603	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	2.3.0	96.05	0.371	2852087	0.572	24027	199		NA
EHM012604	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	97.2	1.346	3588936	0.497	41187	127		NA
EHM012605	EHA00396	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	99.03	0.961	2454801	0.587	95580	49		NA
EHM012606	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-603	s__	2.3.0	84.11	1.067	1824470	0.396	11703	214		NA
EHM012607	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__	2.3.0	64.48	0.914	1612668	0.505	5736	353		NA
EHM012608	EHA00396	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__UBA953	g__Spyradosoma	s__	2.3.0	93.24	1.486	2136841	0.585	84287	61		NA
EHM012609	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Wujia	s__	2.3.0	95.23	2.013	2591591	0.441	12123	287		NA
EHM012610	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__Borkfalkiaceae	g__Gallimonas	s__	2.3.0	64.15	2.639	1238544	0.533	3488	391		NA
EHM012611	EHA00396	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__	2.3.0	50.63	1.754	1491397	0.42	2909	540		NA
